total,code
23622.906,ALB
2373.763,DZA
1929.989,ATG
39991.081,ARG
55573.066,ARM
1126.711,AUS
43850.928,AUT
22426.973,AZE
3208.033,BGD
24060.988,BLR
58653.453,BEL
29153.39,BLZ
1,BMU
16168.297,BOL
35991.972,BIH
7922.181,BWA
40044.193,BRA
30565.544,BGR
104.703,BDI
26.377,KHM
1055.155,CMR
19066.239,CAN
35244.959,CHL
68.201,CHN
37795.263,COL
36515.869,CRI
54838.807,HRV
1628.289,CUB
83280.745,CZE
32901.816,DNK
17972.689,DOM
13129.468,ECU
1536.873,EGY
7930.22,SLV
1144.241,ETH
61.354,FJI
7310.424,FIN
45545.106,FRA
62146.935,GEO
24579.673,DEU
1868.667,GHA
14288.036,GRC
8324.939,GTM
8811.799,GUY
956.542,HTI
13623.76,HND
,HKG
36510.375,HUN
7667.963,IND
3352.599,IDN
15141.499,IRQ
35409.118,IRL
64496.142,ISR
39530.76,ITA
4820.407,JAM
2653.498,JPN
30926.166,JOR
11554.955,KAZ
1845.352,KEN
12749.167,KGZ
29640.516,LVA
37500.282,LBN
374.876,LBR
15989.581,LBY
680.974,MWI
4997.22,MYS
12793.506,MEX
468.537,MNG
12466.46,MAR
878.119,MOZ
2477.403,MMR
9185.769,NPL
54283.857,NLD
469.077,NZL
928.666,NIC
543.341,NGA
10889.387,NOR
2367.719,PAK
29904.442,PSE
69380.555,PAN
17187.169,PRY
32165.836,PER
4587.799,PHL
38019.632,POL
54576.737,PRT
2,PRI
36134.967,ROU
24345,RUS
869.273,RWA
1,REU
10487.172,SAU
1387.01,SEN
54979.164,SRB
377.837,SLE
10106.587,SGP
41098.841,SVK
298.492,SOM
22710.601,ZAF
1426.1,KOR
330.81,SSD
49972.449,ESP
2510.128,LKA
599.303,SDN
51834.043,SWE
57764.652,CHE
36.193,TWN
8.521,TZA
180.43,THA
39.44,TLS
522.302,TGO
5286.922,TTO
15389.701,TUN
28373.126,TUR
832.623,UGA
27482.065,UKR
25957.696,ARE
50722.532,GBR
72732.524,USA
9460.444,URY
4235.625,VEN
15.811,VNM
1876.616,ZWE
