total,code
2.89,ALB
1.9,DZA
3.8,ATG
5.0,ARG
4.2,ARM
3.84,AUS
7.37,AUT
4.7,AZE
0.8,BGD
11.0,BLR
5.64,BEL
1.3,BLZ
1.1,BOL
3.5,BIH
1.8,BWA
2.2,BRA
7.454,BGR
0.8,BDI
0.8,KHM
1.3,CMR
2.5,CAN
2.11,CHL
4.34,CHN
1.71,COL
1.13,CRI
5.54,HRV
5.2,CUB
6.63,CZE
2.5,DNK
1.6,DOM
1.5,ECU
1.6,EGY
1.3,SLV
0.3,ETH
2.3,FJI
3.28,FIN
5.98,FRA
2.6,GEO
8.0,DEU
0.9,GHA
4.21,GRC
0.6,GTM
1.6,GUY
0.7,HTI
0.7,HND
,HKG
7.02,HUN
0.53,IND
1.04,IDN
1.4,IRQ
2.96,IRL
2.99,ISR
3.18,ITA
1.7,JAM
13.05,JPN
1.4,JOR
6.7,KAZ
1.4,KEN
4.5,KGZ
5.57,LVA
2.9,LBN
0.8,LBR
3.7,LBY
1.3,MWI
1.9,MYS
1.38,MEX
7.0,MNG
1.1,MAR
0.7,MOZ
0.9,MMR
0.3,NPL
3.32,NLD
2.61,NZL
0.9,NIC
,NGA
3.6,NOR
0.6,PAK
,PSE
2.3,PAN
1.3,PRY
1.6,PER
1.0,PHL
6.62,POL
3.39,PRT
6.892,ROU
8.05,RUS
,RWA
2.7,SAU
,SEN
5.609,SRB
,SLE
2.4,SGP
5.82,SVK
0.9,SOM
2.32,ZAF
12.27,KOR
,SSD
2.97,ESP
3.6,LKA
0.8,SDN
2.22,SWE
4.53,CHE
,TWN
0.7,TZA
2.1,THA
5.9,TLS
0.7,TGO
3.0,TTO
2.3,TUN
2.81,TUR
0.5,UGA
8.8,UKR
1.2,ARE
2.54,GBR
2.77,USA
2.8,URY
0.8,VEN
2.6,VNM
1.7,ZWE
1,BMU
2,PRI
1,REU
